Water(ml),Date,year,month,day_of_the_week,hour,day,day_suffix
100,23 February 2024,2024,February,Fri,21: 00,23,23rd
650,23 February 2024,2024,February,Fri,20: 00,23,23rd
100,23 February 2024,2024,February,Fri,17: 00,23,23rd
650,23 February 2024,2024,February,Fri,15: 00,23,23rd
650,23 February 2024,2024,February,Fri,10: 00,23,23rd
250,23 February 2024,2024,February,Fri,06: 00,23,23rd
500,23 February 2024,2024,February,Fri,03: 00,23,23rd
650,23 February 2024,2024,February,Fri,01: 00,23,23rd
100,23 February 2024,2024,February,Fri,00: 00,23,23rd
600,20 February 2024,2024,February,Tue,22: 00,20,20th
600,20 February 2024,2024,February,Tue,07: 00,20,20th
100,20 February 2024,2024,February,Tue,03: 00,20,20th
750,19 February 2024,2024,February,Mon,19: 00,19,19th
750,19 February 2024,2024,February,Mon,16: 00,19,19th
750,19 February 2024,2024,February,Mon,15: 00,19,19th
750,19 February 2024,2024,February,Mon,15: 00,19,19th
750,19 February 2024,2024,February,Mon,13: 00,19,19th
750,19 February 2024,2024,February,Mon,11: 00,19,19th
750,19 February 2024,2024,February,Mon,11: 00,19,19th
750,19 February 2024,2024,February,Mon,02: 00,19,19th
750,19 February 2024,2024,February,Mon,00: 00,19,19th
600,15 February 2024,2024,February,Thu,22: 00,15,15th
600,15 February 2024,2024,February,Thu,16: 00,15,15th
600,15 February 2024,2024,February,Thu,07: 00,15,15th
600,13 February 2024,2024,February,Tue,23: 00,13,13th
750,13 February 2024,2024,February,Tue,21: 00,13,13th
600,12 February 2024,2024,February,Mon,18: 00,12,12th
750,12 February 2024,2024,February,Mon,17: 00,12,12th
750,12 February 2024,2024,February,Mon,16: 00,12,12th
750,12 February 2024,2024,February,Mon,09: 00,12,12th
750,12 February 2024,2024,February,Mon,00: 00,12,12th
100,11 February 2024,2024,February,Sun,06: 00,11,11th
600,11 February 2024,2024,February,Sun,04: 00,11,11th
300,10 February 2024,2024,February,Sat,11: 00,10,10th
750,10 February 2024,2024,February,Sat,11: 00,10,10th
300,10 February 2024,2024,February,Sat,08: 00,10,10th
750,08 February 2024,2024,February,Thu,23: 00,8,8th
600,08 February 2024,2024,February,Thu,20: 00,8,8th
750,08 February 2024,2024,February,Thu,17: 00,8,8th
600,08 February 2024,2024,February,Thu,15: 00,8,8th
600,08 February 2024,2024,February,Thu,03: 00,8,8th
100,07 February 2024,2024,February,Wed,15: 00,7,7th
650,07 February 2024,2024,February,Wed,13: 00,7,7th
750,06 February 2024,2024,February,Tue,20: 00,6,6th
600,06 February 2024,2024,February,Tue,14: 00,6,6th
750,06 February 2024,2024,February,Tue,09: 00,6,6th
600,05 February 2024,2024,February,Mon,21: 00,5,5th
750,05 February 2024,2024,February,Mon,21: 00,5,5th
600,05 February 2024,2024,February,Mon,20: 00,5,5th
150,05 February 2024,2024,February,Mon,19: 00,5,5th
60,05 February 2024,2024,February,Mon,16: 00,5,5th
540,05 February 2024,2024,February,Mon,16: 00,5,5th
750,05 February 2024,2024,February,Mon,11: 00,5,5th
600,05 February 2024,2024,February,Mon,09: 00,5,5th
100,05 February 2024,2024,February,Mon,07: 00,5,5th
600,05 February 2024,2024,February,Mon,05: 00,5,5th
750,05 February 2024,2024,February,Mon,05: 00,5,5th
600,05 February 2024,2024,February,Mon,01: 00,5,5th
200,02 February 2024,2024,February,Fri,22: 00,2,2nd
750,02 February 2024,2024,February,Fri,22: 00,2,2nd
500,02 February 2024,2024,February,Fri,17: 00,2,2nd
750,02 February 2024,2024,February,Fri,14: 00,2,2nd
600,02 February 2024,2024,February,Fri,13: 00,2,2nd
600,02 February 2024,2024,February,Fri,13: 00,2,2nd
600,02 February 2024,2024,February,Fri,11: 00,2,2nd
600,02 February 2024,2024,February,Fri,07: 00,2,2nd
700,01 February 2024,2024,February,Thu,20: 00,1,1st
100,01 February 2024,2024,February,Thu,20: 00,1,1st
400,01 February 2024,2024,February,Thu,14: 00,1,1st
750,30 January 2024,2024,January,Tue,22: 00,30,30th
750,30 January 2024,2024,January,Tue,22: 00,30,30th
550,30 January 2024,2024,January,Tue,21: 00,30,30th
500,30 January 2024,2024,January,Tue,17: 00,30,30th
750,30 January 2024,2024,January,Tue,15: 00,30,30th
750,30 January 2024,2024,January,Tue,14: 00,30,30th
750,30 January 2024,2024,January,Tue,11: 00,30,30th
750,30 January 2024,2024,January,Tue,11: 00,30,30th
750,30 January 2024,2024,January,Tue,09: 00,30,30th
750,30 January 2024,2024,January,Tue,09: 00,30,30th
750,30 January 2024,2024,January,Tue,06: 00,30,30th
100,30 January 2024,2024,January,Tue,05: 00,30,30th
750,30 January 2024,2024,January,Tue,02: 00,30,30th
750,30 January 2024,2024,January,Tue,02: 00,30,30th
750,29 January 2024,2024,January,Mon,16: 00,29,29th
750,29 January 2024,2024,January,Mon,13: 00,29,29th
400,29 January 2024,2024,January,Mon,04: 00,29,29th
750,29 January 2024,2024,January,Mon,01: 00,29,29th
750,29 January 2024,2024,January,Mon,00: 00,29,29th
750,27 January 2024,2024,January,Sat,07: 00,27,27th
750,27 January 2024,2024,January,Sat,07: 00,27,27th
750,27 January 2024,2024,January,Sat,05: 00,27,27th
750,25 January 2024,2024,January,Thu,21: 00,25,25th
300,25 January 2024,2024,January,Thu,08: 00,25,25th
300,24 January 2024,2024,January,Wed,21: 00,24,24th
600,24 January 2024,2024,January,Wed,19: 00,24,24th
750,24 January 2024,2024,January,Wed,14: 00,24,24th
600,24 January 2024,2024,January,Wed,12: 00,24,24th
300,24 January 2024,2024,January,Wed,11: 00,24,24th
600,24 January 2024,2024,January,Wed,07: 00,24,24th
750,23 January 2024,2024,January,Tue,21: 00,23,23rd
600,23 January 2024,2024,January,Tue,18: 00,23,23rd
300,23 January 2024,2024,January,Tue,05: 00,23,23rd
750,21 January 2024,2024,January,Sun,19: 00,21,21st
300,21 January 2024,2024,January,Sun,17: 00,21,21st
300,21 January 2024,2024,January,Sun,17: 00,21,21st
600,21 January 2024,2024,January,Sun,16: 00,21,21st
300,21 January 2024,2024,January,Sun,08: 00,21,21st
300,21 January 2024,2024,January,Sun,03: 00,21,21st
300,20 January 2024,2024,January,Sat,22: 00,20,20th
300,20 January 2024,2024,January,Sat,12: 00,20,20th
300,20 January 2024,2024,January,Sat,09: 00,20,20th
300,20 January 2024,2024,January,Sat,03: 00,20,20th
600,18 January 2024,2024,January,Thu,22: 00,18,18th
300,18 January 2024,2024,January,Thu,22: 00,18,18th
300,18 January 2024,2024,January,Thu,17: 00,18,18th
500,18 January 2024,2024,January,Thu,14: 00,18,18th
600,18 January 2024,2024,January,Thu,10: 00,18,18th
600,18 January 2024,2024,January,Thu,08: 00,18,18th
600,18 January 2024,2024,January,Thu,07: 00,18,18th
600,18 January 2024,2024,January,Thu,05: 00,18,18th
500,18 January 2024,2024,January,Thu,00: 00,18,18th
750,18 January 2024,2024,January,Thu,00: 00,18,18th
600,16 January 2024,2024,January,Tue,22: 00,16,16th
600,16 January 2024,2024,January,Tue,17: 00,16,16th
600,16 January 2024,2024,January,Tue,11: 00,16,16th
600,16 January 2024,2024,January,Tue,01: 00,16,16th
600,15 January 2024,2024,January,Mon,17: 00,15,15th
600,14 January 2024,2024,January,Sun,23: 00,14,14th
600,14 January 2024,2024,January,Sun,18: 00,14,14th
750,14 January 2024,2024,January,Sun,16: 00,14,14th
600,13 January 2024,2024,January,Sat,23: 00,13,13th
600,13 January 2024,2024,January,Sat,13: 00,13,13th
600,13 January 2024,2024,January,Sat,12: 00,13,13th
750,13 January 2024,2024,January,Sat,10: 00,13,13th
750,12 January 2024,2024,January,Fri,16: 00,12,12th
300,12 January 2024,2024,January,Fri,15: 00,12,12th
600,12 January 2024,2024,January,Fri,03: 00,12,12th
600,11 January 2024,2024,January,Thu,21: 00,11,11th
300,11 January 2024,2024,January,Thu,20: 00,11,11th
300,11 January 2024,2024,January,Thu,11: 00,11,11th
600,11 January 2024,2024,January,Thu,06: 00,11,11th
750,11 January 2024,2024,January,Thu,01: 00,11,11th
750,09 January 2024,2024,January,Tue,17: 00,9,9th
500,08 January 2024,2024,January,Mon,17: 00,8,8th
600,08 January 2024,2024,January,Mon,15: 00,8,8th
600,08 January 2024,2024,January,Mon,13: 00,8,8th
750,07 January 2024,2024,January,Sun,19: 00,7,7th
300,07 January 2024,2024,January,Sun,12: 00,7,7th
600,06 January 2024,2024,January,Sat,05: 00,6,6th
600,06 January 2024,2024,January,Sat,04: 00,6,6th
500,05 January 2024,2024,January,Fri,22: 00,5,5th
600,05 January 2024,2024,January,Fri,18: 00,5,5th
600,05 January 2024,2024,January,Fri,17: 00,5,5th
500,05 January 2024,2024,January,Fri,15: 00,5,5th
500,05 January 2024,2024,January,Fri,15: 00,5,5th
600,05 January 2024,2024,January,Fri,12: 00,5,5th
600,05 January 2024,2024,January,Fri,03: 00,5,5th
500,05 January 2024,2024,January,Fri,03: 00,5,5th
500,05 January 2024,2024,January,Fri,01: 00,5,5th
600,04 January 2024,2024,January,Thu,17: 00,4,4th
600,04 January 2024,2024,January,Thu,12: 00,4,4th
600,04 January 2024,2024,January,Thu,09: 00,4,4th
750,04 January 2024,2024,January,Thu,01: 00,4,4th
500,03 January 2024,2024,January,Wed,15: 00,3,3rd
500,03 January 2024,2024,January,Wed,14: 00,3,3rd
500,03 January 2024,2024,January,Wed,09: 00,3,3rd
500,03 January 2024,2024,January,Wed,08: 00,3,3rd
300,03 January 2024,2024,January,Wed,02: 00,3,3rd
500,03 January 2024,2024,January,Wed,01: 00,3,3rd
600,02 January 2024,2024,January,Tue,08: 00,2,2nd
600,02 January 2024,2024,January,Tue,07: 00,2,2nd
600,02 January 2024,2024,January,Tue,05: 00,2,2nd
600,02 January 2024,2024,January,Tue,04: 00,2,2nd
600,01 January 2024,2024,January,Mon,20: 00,1,1st
600,01 January 2024,2024,January,Mon,19: 00,1,1st
600,01 January 2024,2024,January,Mon,18: 00,1,1st
600,01 January 2024,2024,January,Mon,12: 00,1,1st
500,01 January 2024,2024,January,Mon,03: 00,1,1st
600,01 January 2024,2024,January,Mon,00: 00,1,1st
750,30 December 2023,2023,December,Sat,19: 00,30,30th
750,30 December 2023,2023,December,Sat,18: 00,30,30th
750,30 December 2023,2023,December,Sat,02: 00,30,30th
600,30 December 2023,2023,December,Sat,01: 00,30,30th
500,29 December 2023,2023,December,Fri,22: 00,29,29th
400,29 December 2023,2023,December,Fri,19: 00,29,29th
500,29 December 2023,2023,December,Fri,16: 00,29,29th
500,29 December 2023,2023,December,Fri,11: 00,29,29th
350,29 December 2023,2023,December,Fri,07: 00,29,29th
500,29 December 2023,2023,December,Fri,05: 00,29,29th
500,29 December 2023,2023,December,Fri,03: 00,29,29th
500,28 December 2023,2023,December,Thu,22: 00,28,28th
750,28 December 2023,2023,December,Thu,03: 00,28,28th
350,27 December 2023,2023,December,Wed,19: 00,27,27th
350,27 December 2023,2023,December,Wed,19: 00,27,27th
300,27 December 2023,2023,December,Wed,18: 00,27,27th
300,27 December 2023,2023,December,Wed,16: 00,27,27th
600,27 December 2023,2023,December,Wed,15: 00,27,27th
750,27 December 2023,2023,December,Wed,11: 00,27,27th
600,27 December 2023,2023,December,Wed,09: 00,27,27th
500,27 December 2023,2023,December,Wed,08: 00,27,27th
600,27 December 2023,2023,December,Wed,04: 00,27,27th
600,26 December 2023,2023,December,Tue,16: 00,26,26th
350,26 December 2023,2023,December,Tue,08: 00,26,26th
600,26 December 2023,2023,December,Tue,04: 00,26,26th
500,25 December 2023,2023,December,Mon,01: 00,25,25th
600,24 December 2023,2023,December,Sun,17: 00,24,24th
600,24 December 2023,2023,December,Sun,08: 00,24,24th
600,23 December 2023,2023,December,Sat,17: 00,23,23rd
600,23 December 2023,2023,December,Sat,13: 00,23,23rd
600,23 December 2023,2023,December,Sat,09: 00,23,23rd
600,23 December 2023,2023,December,Sat,08: 00,23,23rd
600,23 December 2023,2023,December,Sat,04: 00,23,23rd
600,23 December 2023,2023,December,Sat,00: 00,23,23rd
600,21 December 2023,2023,December,Thu,17: 00,21,21st
350,21 December 2023,2023,December,Thu,06: 00,21,21st
600,21 December 2023,2023,December,Thu,01: 00,21,21st
600,21 December 2023,2023,December,Thu,01: 00,21,21st
500,20 December 2023,2023,December,Wed,01: 00,20,20th
500,19 December 2023,2023,December,Tue,20: 00,19,19th
500,19 December 2023,2023,December,Tue,18: 00,19,19th
500,19 December 2023,2023,December,Tue,18: 00,19,19th
500,19 December 2023,2023,December,Tue,17: 00,19,19th
400,19 December 2023,2023,December,Tue,12: 00,19,19th
500,19 December 2023,2023,December,Tue,07: 00,19,19th
500,19 December 2023,2023,December,Tue,06: 00,19,19th
600,19 December 2023,2023,December,Tue,04: 00,19,19th
500,19 December 2023,2023,December,Tue,04: 00,19,19th
600,18 December 2023,2023,December,Mon,23: 00,18,18th
600,18 December 2023,2023,December,Mon,16: 00,18,18th
500,18 December 2023,2023,December,Mon,12: 00,18,18th
600,18 December 2023,2023,December,Mon,08: 00,18,18th
600,18 December 2023,2023,December,Mon,00: 00,18,18th
500,17 December 2023,2023,December,Sun,16: 00,17,17th
600,16 December 2023,2023,December,Sat,21: 00,16,16th
500,16 December 2023,2023,December,Sat,09: 00,16,16th
600,16 December 2023,2023,December,Sat,06: 00,16,16th
500,16 December 2023,2023,December,Sat,04: 00,16,16th
600,16 December 2023,2023,December,Sat,02: 00,16,16th
600,15 December 2023,2023,December,Fri,12: 00,15,15th
600,15 December 2023,2023,December,Fri,10: 00,15,15th
600,14 December 2023,2023,December,Thu,21: 00,14,14th
500,14 December 2023,2023,December,Thu,14: 00,14,14th
500,14 December 2023,2023,December,Thu,13: 00,14,14th
500,14 December 2023,2023,December,Thu,12: 00,14,14th
600,13 December 2023,2023,December,Wed,05: 00,13,13th
600,13 December 2023,2023,December,Wed,05: 00,13,13th
300,12 December 2023,2023,December,Tue,19: 00,12,12th
600,12 December 2023,2023,December,Tue,14: 00,12,12th
600,12 December 2023,2023,December,Tue,12: 00,12,12th
600,11 December 2023,2023,December,Mon,17: 00,11,11th
600,11 December 2023,2023,December,Mon,14: 00,11,11th
600,11 December 2023,2023,December,Mon,06: 00,11,11th
600,11 December 2023,2023,December,Mon,02: 00,11,11th
600,11 December 2023,2023,December,Mon,02: 00,11,11th
300,08 December 2023,2023,December,Fri,18: 00,8,8th
300,08 December 2023,2023,December,Fri,16: 00,8,8th
300,08 December 2023,2023,December,Fri,15: 00,8,8th
300,08 December 2023,2023,December,Fri,14: 00,8,8th
600,08 December 2023,2023,December,Fri,13: 00,8,8th
500,07 December 2023,2023,December,Thu,17: 00,7,7th
400,07 December 2023,2023,December,Thu,16: 00,7,7th
500,07 December 2023,2023,December,Thu,13: 00,7,7th
500,07 December 2023,2023,December,Thu,04: 00,7,7th
500,06 December 2023,2023,December,Wed,22: 00,6,6th
500,06 December 2023,2023,December,Wed,21: 00,6,6th
500,06 December 2023,2023,December,Wed,18: 00,6,6th
500,06 December 2023,2023,December,Wed,14: 00,6,6th
500,05 December 2023,2023,December,Tue,00: 00,5,5th
500,03 December 2023,2023,December,Sun,23: 00,3,3rd
100,03 December 2023,2023,December,Sun,22: 00,3,3rd
500,03 December 2023,2023,December,Sun,15: 00,3,3rd
500,03 December 2023,2023,December,Sun,13: 00,3,3rd
500,03 December 2023,2023,December,Sun,10: 00,3,3rd
500,03 December 2023,2023,December,Sun,06: 00,3,3rd
500,01 December 2023,2023,December,Fri,17: 00,1,1st
500,01 December 2023,2023,December,Fri,17: 00,1,1st
500,01 December 2023,2023,December,Fri,15: 00,1,1st
500,01 December 2023,2023,December,Fri,11: 00,1,1st
500,01 December 2023,2023,December,Fri,07: 00,1,1st
500,30 November 2023,2023,November,Thu,04: 00,30,30th
500,29 November 2023,2023,November,Wed,21: 00,29,29th
500,29 November 2023,2023,November,Wed,13: 00,29,29th
500,28 November 2023,2023,November,Tue,15: 00,28,28th
500,28 November 2023,2023,November,Tue,09: 00,28,28th
500,27 November 2023,2023,November,Mon,22: 00,27,27th
500,27 November 2023,2023,November,Mon,22: 00,27,27th
600,27 November 2023,2023,November,Mon,07: 00,27,27th
500,26 November 2023,2023,November,Sun,16: 00,26,26th
500,26 November 2023,2023,November,Sun,14: 00,26,26th
500,26 November 2023,2023,November,Sun,13: 00,26,26th
500,26 November 2023,2023,November,Sun,03: 00,26,26th
500,26 November 2023,2023,November,Sun,01: 00,26,26th
500,25 November 2023,2023,November,Sat,23: 00,25,25th
500,25 November 2023,2023,November,Sat,19: 00,25,25th
500,25 November 2023,2023,November,Sat,03: 00,25,25th
500,25 November 2023,2023,November,Sat,01: 00,25,25th
500,24 November 2023,2023,November,Fri,21: 00,24,24th
500,24 November 2023,2023,November,Fri,11: 00,24,24th
500,24 November 2023,2023,November,Fri,00: 00,24,24th
500,23 November 2023,2023,November,Thu,21: 00,23,23rd
500,23 November 2023,2023,November,Thu,17: 00,23,23rd
500,23 November 2023,2023,November,Thu,16: 00,23,23rd
500,23 November 2023,2023,November,Thu,12: 00,23,23rd
500,23 November 2023,2023,November,Thu,07: 00,23,23rd
500,23 November 2023,2023,November,Thu,06: 00,23,23rd
500,22 November 2023,2023,November,Wed,18: 00,22,22nd
500,22 November 2023,2023,November,Wed,17: 00,22,22nd
500,22 November 2023,2023,November,Wed,16: 00,22,22nd
500,22 November 2023,2023,November,Wed,01: 00,22,22nd
600,21 November 2023,2023,November,Tue,23: 00,21,21st
500,21 November 2023,2023,November,Tue,16: 00,21,21st
600,21 November 2023,2023,November,Tue,14: 00,21,21st
600,21 November 2023,2023,November,Tue,03: 00,21,21st
500,21 November 2023,2023,November,Tue,02: 00,21,21st
500,20 November 2023,2023,November,Mon,09: 00,20,20th
500,20 November 2023,2023,November,Mon,06: 00,20,20th
500,20 November 2023,2023,November,Mon,04: 00,20,20th
500,19 November 2023,2023,November,Sun,23: 00,19,19th
500,19 November 2023,2023,November,Sun,16: 00,19,19th
600,19 November 2023,2023,November,Sun,14: 00,19,19th
600,19 November 2023,2023,November,Sun,09: 00,19,19th
500,19 November 2023,2023,November,Sun,08: 00,19,19th
500,19 November 2023,2023,November,Sun,08: 00,19,19th
600,18 November 2023,2023,November,Sat,16: 00,18,18th
400,18 November 2023,2023,November,Sat,11: 00,18,18th
600,18 November 2023,2023,November,Sat,04: 00,18,18th
400,17 November 2023,2023,November,Fri,21: 00,17,17th
400,17 November 2023,2023,November,Fri,20: 00,17,17th
400,17 November 2023,2023,November,Fri,18: 00,17,17th
400,17 November 2023,2023,November,Fri,16: 00,17,17th
400,17 November 2023,2023,November,Fri,10: 00,17,17th
400,17 November 2023,2023,November,Fri,02: 00,17,17th
